
"Tally by Opcode"

"","","","Opcode (Hex) >","0x00","0x01","0x05","0x06","0x08","0x0C","0x0E","0x35","0x51","0x52","0x53","0x54","0x55","0x56","0x57","0x58","0x59","0x5A","0x5B","0x5C","0x5D","0x5E","0x61","0x62","0x64","0x66","0x68","0x6B","0x6C","0x72","0x75","0x76","0x7A","0x7C","0x87","0x9C","0x9F","0xC0","0xC3","0xC4","0xC5","0x100","0x101","0x102","0x103","0x104","0x105"
"","","","Opcode >","PUSH0","PUSHBYTES1","5","6","8","12","14","53","PUSH1","PUSH2","PUSH3","PUSH4","PUSH5","PUSH6","PUSH7","PUSH8","PUSH9","PUSH10","PUSH11","PUSH12","PUSH13","PUSH14","NOP","JMP","JMPIFNOT","RET","SYSCALL","TOALTSTACK","FROMALTSTACK","XSWAP","DROP","DUP","ROLL","SWAP","EQUAL","NUMEQUAL","LT","ARRAYSIZE","PICKITEM","SETITEM","NEWARRAY","Runtime.Notify","Storage.GetContext","Storage.Get","Storage.Put","Runtime.CheckWitness","Storage.Delete"
"lab5_domain.cs","165","            Runtime.Notify(''DeleteDomain'', domain_name);","72","8","0","0","0","0","4","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","4","4","4","0","0","12","0","0","0","0","0","0","4","12","4","4","0","0","0","0","0"
"lab5_domain.cs","167","            StorageContext ctx = Storage.CurrentContext;","40","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","4","4","4","0","0","4","4","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"lab5_domain.cs","168","            byte[] owner = Storage.Get(ctx, domain_name);","84","4","0","0","0","0","0","0","0","0","8","4","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","4","12","12","0","0","12","4","4","0","0","0","0","8","4","0","0","0","4","0","0","0"
"lab5_domain.cs","169","            if (owner.Length == 0)","84","4","0","0","0","0","0","0","0","0","4","4","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","12","0","0","12","4","0","0","4","0","4","8","8","0","0","0","0","0","0","0"
"lab5_domain.cs","175","            {","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab5_domain.cs","176","                if (!Runtime.CheckWitness(owner))","78","4","0","0","0","0","0","0","0","0","4","3","0","7","0","0","0","0","0","0","0","0","0","7","0","0","0","3","10","10","0","0","10","4","0","0","3","0","0","6","4","0","0","0","0","0","3","0"
"lab5_domain.cs","177","                {","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab5_domain.cs","178","                    Runtime.Notify(''Sender is not the owner on this domain, cannot delete'', domain_name);","54","6","0","0","0","0","0","0","3","3","3","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","3","3","3","0","0","9","0","0","0","0","0","0","3","6","3","3","0","0","0","0","0"
"lab5_domain.cs","179","                    result = false;","24","3","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","3","3","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab5_domain.cs","180","                }","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0"
"lab5_domain.cs","182","                {","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab5_domain.cs","183","                    Storage.Delete(ctx, domain_name);","15","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","2","2","0","0","2","0","1","0","0","0","0","2","0","0","0","0","0","0","0","1"
"lab5_domain.cs","184","                    result = true;","8","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab5_domain.cs","185","                }","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"lab5_domain.cs","186","            }","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab5_domain.cs","188","            return result;","52","0","0","0","0","0","0","0","0","4","4","0","0","0","4","0","0","0","0","0","0","0","0","4","0","0","0","0","8","8","0","0","8","4","0","0","0","0","0","4","4","0","0","0","0","0","0","0"
"lab5_domain.cs","189","        }","36","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","4","4","0","0","0","4","8","0","4","4","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0"
"","","Tally by Opcode >","--------","96","2","6","6","4","4","2","3","56","160","31","24","23","22","12","4","2","4","4","4","12","6","125","30","35","12","27","267","267","2","12","275","114","9","16","19","2","16","149","134","21","9","6","6","2","3","1"
"","","Total Tally >","2046"

"Costs by Opcode"

"","","","Opcode (Hex) >","0x00","0x01","0x05","0x06","0x08","0x0C","0x0E","0x35","0x51","0x52","0x53","0x54","0x55","0x56","0x57","0x58","0x59","0x5A","0x5B","0x5C","0x5D","0x5E","0x61","0x62","0x64","0x66","0x68","0x6B","0x6C","0x72","0x75","0x76","0x7A","0x7C","0x87","0x9C","0x9F","0xC0","0xC3","0xC4","0xC5","0x100","0x101","0x102","0x103","0x104","0x105"
"","","","Opcode >","PUSH0","PUSHBYTES1","5","6","8","12","14","53","PUSH1","PUSH2","PUSH3","PUSH4","PUSH5","PUSH6","PUSH7","PUSH8","PUSH9","PUSH10","PUSH11","PUSH12","PUSH13","PUSH14","NOP","JMP","JMPIFNOT","RET","SYSCALL","TOALTSTACK","FROMALTSTACK","XSWAP","DROP","DUP","ROLL","SWAP","EQUAL","NUMEQUAL","LT","ARRAYSIZE","PICKITEM","SETITEM","NEWARRAY","Runtime.Notify","Storage.GetContext","Storage.Get","Storage.Put","Runtime.CheckWitness","Storage.Delete"
"","","","v Stmt Cost / Opcode Cost >","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0.001","0","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.1","1","0.2","0.001"
"lab5_domain.cs","18","        {","0.078","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.006","0","0.018","0.012","0","0","0.012","0.012","0","0","0","0","0","0","0.012","0.006","0","0","0","0","0","0"
"lab5_domain.cs","19","            object result = false; // = 0 (zero)","0.024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.006","0.006","0","0","0.006","0.006","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab5_domain.cs","21","            if (args.Length == 0)","0.096","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.018","0.018","0","0","0.018","0.006","0","0","0.006","0","0.006","0.012","0.012","0","0","0","0","0","0","0"
"lab5_domain.cs","27","            {","0.006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab5_domain.cs","28","                string domain_name = (string)args[0];","0.054","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.012","0.012","0","0","0.012","0.006","0","0","0","0","0","0.012","0","0","0","0","0","0","0","0"
"lab5_domain.cs","29","                if (operation == ''query'')","0.090","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.018","0.018","0","0","0.018","0.006","0","0.006","0","0","0","0.012","0.012","0","0","0","0","0","0","0"
"lab5_domain.cs","33","                else if (operation == ''delete'')","0.090","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.006","0","0","0.018","0.018","0","0","0.018","0.006","0","0.006","0","0","0","0.012","0.006","0","0","0","0","0","0","0"
